State,Abbreviation,TotalMurders,TotalUnsolved,PercentUnsolved,TotalSolved,PercentSolved
Alabama,AL,15687,3350,21.4,12337,78.6
Alaska,AK,1952,362,18.5,1590,81.5
Arizona,AZ,14482,4065,28.1,10417,71.9
Arkansas,AR,8081,1217,15.1,6864,84.9
California,CA,114621,41459,36.2,73162,63.8
Colorado,CO,7732,1563,20.2,6169,79.8
Connecticut,CT,5541,1800,32.5,3741,67.5
Delaware,DE,1447,290,20.0,1157,80.0
District of Columbia,DC,8209,5126,62.4,3083,37.6
Florida,FL,43459,12196,28.1,31263,71.9
Georgia,GA,24611,6585,26.8,18026,73.2
Hawaii,HI,1645,380,23.1,1265,76.9
Idaho,ID,1430,139,9.7,1291,90.3
Illinois,IL,32685,12169,37.2,20516,62.8
Indiana,IN,13477,4308,32.0,9169,68.0
Iowa,IA,2145,306,14.3,1839,85.7
Kansas,KS,3815,731,19.2,3084,80.8
Kentucky,KY,8457,1825,21.6,6632,78.4
Louisiana,LA,23193,6862,29.6,16331,70.4
Maine,ME,1042,115,11.0,927,89.0
Montana,MT,799,67,8.4,732,91.6
Nebraska,NE,1631,277,17.0,1354,83.0
Nevada,NV,6362,1982,31.2,4380,68.8
New Hampshire,NH,764,123,16.1,641,83.9
New Jersey,NJ,16608,5921,35.7,10687,64.3
New Mexico,NM,4906,1241,25.3,3665,74.7
New York,NY,57806,26283,45.5,31523,54.5
North Carolina,NC,23958,4651,19.4,19307,80.6
North Dakota,ND,369,26,7.0,343,93.0
Ohio,OH,23326,6447,27.6,16879,72.4
Oklahoma,OK,10328,1716,16.6,8612,83.4
Oregon,OR,4834,870,18.0,3964,82.0
Maryland,MD,19612,7937,40.5,11675,59.5
Massachusetts,MA,7059,2515,35.6,4544,64.4
Michigan,MI,33404,10898,32.6,22506,67.4
Minnesota,MN,4633,834,18.0,3799,82.0
Mississippi,MS,7684,1185,15.4,6499,84.6
Missouri,MO,17788,6425,36.1,11363,63.9
Pennsylvania,PA,28575,7068,24.7,21507,75.3
Rhode Island,RI,1394,442,31.7,952,68.3
South Carolina,SC,13970,1366,9.8,12604,90.2
South Dakota,SD,536,43,8.0,493,92.0
Tennessee,TN,17432,2734,15.7,14698,84.3
Texas,TX,72529,16895,23.3,55634,76.7
Utah,UT,2346,338,14.4,2008,85.6
Vermont,VT,468,53,11.3,415,88.7
Virginia,VA,18326,3785,20.7,14541,79.3
Washington,WA,8883,1936,21.8,6947,78.2
West Virginia,WV,3672,374,10.2,3298,89.8
Wisconsin,WI,7297,1243,17.0,6054,83.0
Wyoming,WY,775,79,10.2,696,89.8
